Grafica,Precio,Enlace,Status
Nvidia Geforce Gtx 1060 Evga,"5,999",https://articulo.mercadolibre.com.mx/MLM-1363407966-nvidia-geforce-gtx-1060-evga-_JM#position=45&search_layout=stack&type=item&tracking_id=b65fde96-a6fa-49c0-a1b5-0b6571a5d1f6,nuevo
Amd Asrock Phantomgaming Radeon Rx550 2g Phantom Gr Rx550 2g,"3,000",https://articulo.mercadolibre.com.mx/MLM-1363433262-amd-asrock-phantomgaming-radeon-rx550-2g-phantom-gr-rx550-2g-_JM#position=12&search_layout=stack&type=item&tracking_id=5bc60e61-0ef5-4fdd-9b09-1fbeff2a7587,nuevo
Gpu Radeon Rx 550 4gb Powercolor Reddragon Axrx 550 4gbd5-dh,"3,590",https://articulo.mercadolibre.com.mx/MLM-1363350267-gpu-radeon-rx-550-4gb-powercolor-reddragon-axrx-550-4gbd5-dh-_JM#position=24&search_layout=stack&type=item&tracking_id=5bc60e61-0ef5-4fdd-9b09-1fbeff2a7587,nuevo
Geforce Gtx 1060,"5,500",https://articulo.mercadolibre.com.mx/MLM-1363440027-geforce-gtx-1060-_JM#position=11&search_layout=stack&type=item&tracking_id=b34769e8-4cdf-49f6-8898-40feafab1da6,nuevo
