Grafica,Precio,Enlace,Status
Rx 570 4gb Sapphire Pulse ,"6,000",https://articulo.mercadolibre.com.mx/MLM-1363740870-rx-570-4gb-sapphire-pulse-_JM#position=33&search_layout=stack&type=item&tracking_id=38eecb65-4262-40c5-af42-82a0ccead3a1,nuevo
Gpgpu Nvidia Tesla M2090 6gb Gddr5 384bits Pci-e X16 512cuda,"4,000",https://articulo.mercadolibre.com.mx/MLM-1336904787-gpgpu-nvidia-tesla-m2090-6gb-gddr5-384bits-pci-e-x16-512cuda-_JM#position=1&search_layout=stack&type=item&tracking_id=39217da3-3c63-42b5-b948-3f6f49cc18a5,nuevo
"Tarjeta Quadro Pny 4000, 2gb.","4,000",https://articulo.mercadolibre.com.mx/MLM-1344151752-tarjeta-quadro-pny-4000-2gb-_JM#position=2&search_layout=stack&type=item&tracking_id=39217da3-3c63-42b5-b948-3f6f49cc18a5,nuevo
Matrox M9140-e512laf De Perfil Bajo,"4,400",https://articulo.mercadolibre.com.mx/MLM-810831241-matrox-m9140-e512laf-de-perfil-bajo-_JM#position=10&search_layout=stack&type=item&tracking_id=39217da3-3c63-42b5-b948-3f6f49cc18a5,nuevo
Tarjeta Video Amd Radeon Vaporx Sapphire R9 290,"5,000",https://articulo.mercadolibre.com.mx/MLM-1363828949-tarjeta-video-amd-radeon-vaporx-sapphire-r9-290-_JM#position=30&search_layout=stack&type=item&tracking_id=39217da3-3c63-42b5-b948-3f6f49cc18a5,nuevo
 Rx570 4gb,"5,999",https://articulo.mercadolibre.com.mx/MLM-1361689848-rx570-4gb-_JM#position=47&search_layout=stack&type=item&tracking_id=39217da3-3c63-42b5-b948-3f6f49cc18a5,nuevo
Tarjeta De Video Nvidia Quadro 2gb,"3,500",https://articulo.mercadolibre.com.mx/MLM-1363628615-tarjeta-de-video-nvidia-quadro-2gb-_JM#position=25&search_layout=stack&type=item&tracking_id=80ec9011-c848-4286-90f9-51a633d3b445,nuevo
Tarjeta De Vídeo Amd Hd7850 4gb Gddr5 256bits Nueva,"3,500",https://articulo.mercadolibre.com.mx/MLM-1363887741-tarjeta-de-video-amd-hd7850-4gb-gddr5-256bits-nueva-_JM#position=26&search_layout=stack&type=item&tracking_id=80ec9011-c848-4286-90f9-51a633d3b445,nuevo
Amd Radeon Rx 560 4gb,"3,600",https://articulo.mercadolibre.com.mx/MLM-1363599088-amd-radeon-rx-560-4gb-_JM#position=28&search_layout=stack&type=item&tracking_id=80ec9011-c848-4286-90f9-51a633d3b445,nuevo
Asus Gtx 960 Strix 2gb Gddr5,"3,700",https://articulo.mercadolibre.com.mx/MLM-1363593618-asus-gtx-960-strix-2gb-gddr5-_JM#position=29&search_layout=stack&type=item&tracking_id=80ec9011-c848-4286-90f9-51a633d3b445,nuevo
Tarjeta De Vídeo Gtx 960 2gb,"4,000",https://articulo.mercadolibre.com.mx/MLM-1350019933-tarjeta-de-video-gtx-960-2gb-_JM#position=39&search_layout=stack&type=item&tracking_id=80ec9011-c848-4286-90f9-51a633d3b445,nuevo
Amd Radeon R7 370 2gb Sapphire Oc 2gb Ggdr5 Tarjeta De Video,"4,200",https://articulo.mercadolibre.com.mx/MLM-1363716406-amd-radeon-r7-370-2gb-sapphire-oc-2gb-ggdr5-tarjeta-de-video-_JM#position=46&search_layout=stack&type=item&tracking_id=80ec9011-c848-4286-90f9-51a633d3b445,nuevo
Gtx 1050 Low Profile,"4,350",https://articulo.mercadolibre.com.mx/MLM-1363709277-gtx-1050-low-profile-_JM#position=50&search_layout=stack&type=item&tracking_id=80ec9011-c848-4286-90f9-51a633d3b445,nuevo
Gtx 1050ti Tarjeta,"4,500",https://articulo.mercadolibre.com.mx/MLM-1363587063-gtx-1050ti-tarjeta-_JM#position=5&search_layout=stack&type=item&tracking_id=38eecb65-4262-40c5-af42-82a0ccead3a1,nuevo
Geforce Gtx 1050ti,"4,500",https://articulo.mercadolibre.com.mx/MLM-1363822361-geforce-gtx-1050ti-_JM#position=6&search_layout=stack&type=item&tracking_id=38eecb65-4262-40c5-af42-82a0ccead3a1,nuevo
Tarjeta De Video Gigabyte Windforce Gtx 1050 Ti 4gb Ddr5 ,"5,399",https://articulo.mercadolibre.com.mx/MLM-1363628291-tarjeta-de-video-gigabyte-windforce-gtx-1050-ti-4gb-ddr5-_JM#position=17&search_layout=stack&type=item&tracking_id=38eecb65-4262-40c5-af42-82a0ccead3a1,nuevo
Tarjeta De Video Sapphire R9 270x 4gb,"5,500",https://articulo.mercadolibre.com.mx/MLM-1363228910-tarjeta-de-video-sapphire-r9-270x-4gb-_JM#position=21&search_layout=stack&type=item&tracking_id=38eecb65-4262-40c5-af42-82a0ccead3a1,nuevo
Tarjeta De Video Pny Gtx 1060 3gb,"5,999",https://articulo.mercadolibre.com.mx/MLM-1362501539-tarjeta-de-video-pny-gtx-1060-3gb-_JM#position=26&search_layout=stack&type=item&tracking_id=38eecb65-4262-40c5-af42-82a0ccead3a1,nuevo
Tarjeta De Video Rx560,"6,000",https://articulo.mercadolibre.com.mx/MLM-1363593293-tarjeta-de-video-rx560-_JM#position=32&search_layout=stack&type=item&tracking_id=38eecb65-4262-40c5-af42-82a0ccead3a1,nuevo
