Grafica,Precio,Enlace,Status
"Tarjeta Quadro Pny 4000, 2gb.","4,000",https://articulo.mercadolibre.com.mx/MLM-1344151752-tarjeta-quadro-pny-4000-2gb-_JM#position=1&search_layout=stack&type=item&tracking_id=d2c2ad38-ac8f-4124-bc0d-0a8c3e316a01,nuevo
Nvidia Geforce Gtx 1060 Evga,"5,999",https://articulo.mercadolibre.com.mx/MLM-1363407966-nvidia-geforce-gtx-1060-evga-_JM#position=45&search_layout=stack&type=item&tracking_id=d2c2ad38-ac8f-4124-bc0d-0a8c3e316a01,nuevo
Amd Asrock Phantomgaming Radeon Rx550 2g Phantom Gr Rx550 2g,"3,000",https://articulo.mercadolibre.com.mx/MLM-1363433262-amd-asrock-phantomgaming-radeon-rx550-2g-phantom-gr-rx550-2g-_JM#position=12&search_layout=stack&type=item&tracking_id=3aa4297e-7030-444d-afc1-ee547a9e64d7,nuevo
Tarjeta Gráfica Gt 1030,"3,100",https://articulo.mercadolibre.com.mx/MLM-1361737252-tarjeta-grafica-gt-1030-_JM#position=14&search_layout=stack&type=item&tracking_id=3aa4297e-7030-444d-afc1-ee547a9e64d7,nuevo
Gpu Radeon Rx 550 4gb Powercolor Reddragon Axrx 550 4gbd5-dh,"3,590",https://articulo.mercadolibre.com.mx/MLM-1363350267-gpu-radeon-rx-550-4gb-powercolor-reddragon-axrx-550-4gbd5-dh-_JM#position=25&search_layout=stack&type=item&tracking_id=3aa4297e-7030-444d-afc1-ee547a9e64d7,nuevo
Geforce Gtx 1060,"5,500",https://articulo.mercadolibre.com.mx/MLM-1363440027-geforce-gtx-1060-_JM#position=13&search_layout=stack&type=item&tracking_id=1f15cdc4-5cda-4805-8391-799617282148,nuevo
