Grafica,Precio,Enlace,Status
Nvidia Quadro 4000  Usada,"4,000",https://articulo.mercadolibre.com.mx/MLM-1359639940-nvidia-quadro-4000-usada-_JM#position=2&search_layout=stack&type=item&tracking_id=13ba07ff-afb7-4910-a590-02bf1d768e67,nuevo
Amd Tarjeta Gráfica Radeon Hd 8490,"4,050",https://articulo.mercadolibre.com.mx/MLM-1356162037-amd-tarjeta-grafica-radeon-hd-8490-_JM#position=3&search_layout=stack&type=item&tracking_id=13ba07ff-afb7-4910-a590-02bf1d768e67,nuevo
Gtx 960 2gb,"5,500",https://articulo.mercadolibre.com.mx/MLM-1320827517-gtx-960-2gb-_JM#position=32&search_layout=stack&type=item&tracking_id=13ba07ff-afb7-4910-a590-02bf1d768e67,nuevo
Amd Asrock Phantomgaming Radeon Rx550 2g Phantom Gr Rx550 2g,"3,000",https://articulo.mercadolibre.com.mx/MLM-1363433262-amd-asrock-phantomgaming-radeon-rx550-2g-phantom-gr-rx550-2g-_JM#position=11&search_layout=stack&type=item&tracking_id=46b493ed-c889-40a8-88f4-257e157fce04,nuevo
Gpu Radeon Rx 550 4gb Powercolor Reddragon Axrx 550 4gbd5-dh,"3,590",https://articulo.mercadolibre.com.mx/MLM-1363350267-gpu-radeon-rx-550-4gb-powercolor-reddragon-axrx-550-4gbd5-dh-_JM#position=24&search_layout=stack&type=item&tracking_id=46b493ed-c889-40a8-88f4-257e157fce04,nuevo
