Grafica,Precio,Enlace,Status
Rx 550,4500.0,https://articulo.mercadolibre.com.mx/MLM-1364519125-rx-550-_JM,nuevo
Amd Rx 560,4600.0,https://articulo.mercadolibre.com.mx/MLM-1364531529-amd-rx-560-_JM,nuevo
Tarjeta Grafica Hp Nvidia Geforce Gtx 1060 3gb,5000.0,https://articulo.mercadolibre.com.mx/MLM-1364537456-tarjeta-grafica-hp-nvidia-geforce-gtx-1060-3gb-_JM,nuevo
Tarjeta De Video Zotac Gtx 1050 4gb Gddr5 ,5500.0,https://articulo.mercadolibre.com.mx/MLM-1364539206-tarjeta-de-video-zotac-gtx-1050-4gb-gddr5-_JM,nuevo
Rx 560 4gb Rog Strix ,5700.0,https://articulo.mercadolibre.com.mx/MLM-1364401573-rx-560-4gb-rog-strix-_JM,nuevo
