Grafica,Precio,Enlace,Status
Nvidia Quadro P620 De 2 Gb,3400.0,https://articulo.mercadolibre.com.mx/MLM-1365109118-nvidia-quadro-p620-de-2-gb-_JM,nuevo
R9 280x,4000.0,https://articulo.mercadolibre.com.mx/MLM-1364633887-r9-280x-_JM,nuevo
Gtx 1050 2gb,4000.0,https://articulo.mercadolibre.com.mx/MLM-1365038412-gtx-1050-2gb-_JM,nuevo
Gtx 1050 Ti 4gb Como Nueva,4635.0,https://articulo.mercadolibre.com.mx/MLM-1365020217-gtx-1050-ti-4gb-como-nueva-_JM,nuevo
Gtx 1050 Ti 4gb Impecable,4650.0,https://articulo.mercadolibre.com.mx/MLM-1364958649-gtx-1050-ti-4gb-impecable-_JM,nuevo
Tarjeta De Video Gtx 970,5000.0,https://articulo.mercadolibre.com.mx/MLM-1364915150-tarjeta-de-video-gtx-970-_JM,nuevo
